IP,TRUE_COUNT,STD_CMS,VARIANT_CMS,ABS_ERROR_STD,ABS_ERROR_VAR
172.16.0.3153,15,15,16,0,1
172.16.0.1300,10,10,11,0,1
172.16.0.4652,14,14,16,0,2
172.16.0.2920,8,8,9,0,1
172.16.0.836,13,13,16,0,3
172.16.0.2253,7,7,9,0,2
172.16.0.1340,16,16,17,0,1
172.16.0.4624,11,11,12,0,1
172.16.0.1270,10,10,13,0,3
172.16.0.3223,10,10,11,0,1
172.16.0.186,8,8,9,0,1
172.16.0.1897,15,15,16,0,1
172.16.0.2619,18,24,18,6,0
172.16.0.3991,11,11,13,0,2
172.16.0.3935,16,16,17,0,1
172.16.0.3951,10,10,13,0,3
172.16.0.4843,13,13,17,0,4
172.16.0.2745,17,17,19,0,2
172.16.0.1397,11,11,13,0,2
172.16.0.2327,16,16,18,0,2
172.16.0.2204,12,12,14,0,2
172.16.0.2065,13,13,14,0,1
172.16.0.3967,13,13,15,0,2
172.16.0.3336,15,15,16,0,1
172.16.0.4811,9,15,9,6,0
172.16.0.4779,18,18,19,0,1
172.16.0.1645,9,9,10,0,1
172.16.0.1367,10,10,11,0,1
172.16.0.2041,9,9,11,0,2
172.16.0.1849,19,19,21,0,2
172.16.0.3189,11,11,13,0,2
172.16.0.4258,12,12,13,0,1
172.16.0.4060,12,12,13,0,1
172.16.0.4922,13,13,14,0,1
172.16.0.2591,8,8,10,0,2
172.16.0.625,12,12,15,0,3
172.16.0.3024,10,17,10,7,0
172.16.0.1803,12,12,15,0,3
172.16.0.3606,11,11,12,0,1
172.16.0.3286,18,18,19,0,1
172.16.0.4884,10,10,12,0,2
172.16.0.2145,17,17,18,0,1
172.16.0.2971,11,11,13,0,2
172.16.0.4401,7,7,8,0,1
172.16.0.3025,12,12,13,0,1
172.16.0.2129,14,14,15,0,1
172.16.0.170,17,17,19,0,2
172.16.0.3329,16,16,17,0,1
172.16.0.544,14,14,17,0,3
172.16.0.3370,12,12,13,0,1
172.16.0.3584,12,12,13,0,1
172.16.0.1343,9,9,10,0,1
172.16.0.4056,14,14,17,0,3
172.16.0.2527,8,8,11,0,3
172.16.0.4625,16,16,18,0,2
172.16.0.592,8,8,12,0,4
172.16.0.1043,12,12,13,0,1
172.16.0.2754,18,18,20,0,2
172.16.0.3279,9,9,10,0,1
172.16.0.3334,14,14,15,0,1
172.16.0.1124,10,10,12,0,2
172.16.0.1320,15,15,17,0,2
172.16.0.1609,9,9,11,0,2
172.16.0.2196,15,15,16,0,1
172.16.0.4787,12,12,14,0,2
172.16.0.3629,7,7,8,0,1
172.16.0.4348,14,14,15,0,1
172.16.0.2811,15,15,16,0,1
172.16.0.1432,11,11,13,0,2
172.16.0.4770,7,14,7,7,0
172.16.0.706,11,11,14,0,3
172.16.0.4482,9,9,10,0,1
172.16.0.4508,9,9,10,0,1
172.16.0.4877,13,13,14,0,1
172.16.0.1085,12,12,14,0,2
172.16.0.332,14,14,15,0,1
172.16.0.2387,12,12,14,0,2
172.16.0.2153,13,13,14,0,1
172.16.0.55,15,15,17,0,2
172.16.0.3735,12,12,13,0,1
172.16.0.3347,13,13,14,0,1
172.16.0.3532,10,10,11,0,1
172.16.0.3039,8,8,10,0,2
172.16.0.1852,15,15,19,0,4
172.16.0.4560,11,11,13,0,2
172.16.0.2186,18,18,19,0,1
172.16.0.522,16,16,17,0,1
172.16.0.4299,8,8,9,0,1
172.16.0.2475,12,12,14,0,2
172.16.0.4185,17,17,18,0,1
172.16.0.1159,11,11,15,0,4
172.16.0.2245,6,6,8,0,2
172.16.0.870,14,24,14,10,0
172.16.0.4462,16,16,18,0,2
172.16.0.3793,14,14,15,0,1
172.16.0.1308,13,13,14,0,1
172.16.0.1188,9,9,10,0,1
172.16.0.3138,11,11,12,0,1
172.16.0.2,9,9,11,0,2
172.16.0.1827,14,14,15,0,1
172.16.0.3136,15,15,16,0,1
172.16.0.2500,16,16,17,0,1
172.16.0.3989,13,13,14,0,1
172.16.0.2861,19,19,20,0,1
172.16.0.1376,11,11,12,0,1
172.16.0.1912,15,15,16,0,1
172.16.0.1743,11,11,14,0,3
172.16.0.2119,11,21,11,10,0
172.16.0.4971,10,10,11,0,1
172.16.0.2718,14,14,15,0,1
172.16.0.1801,6,6,7,0,1
172.16.0.4440,11,11,13,0,2
172.16.0.1530,17,17,19,0,2
172.16.0.2324,10,10,12,0,2
172.16.0.2121,5,5,6,0,1
172.16.0.3519,10,10,11,0,1
172.16.0.3503,13,13,15,0,2
172.16.0.2123,8,8,9,0,1
172.16.0.3827,7,7,9,0,2
172.16.0.202,13,13,14,0,1
172.16.0.4995,14,14,15,0,1
172.16.0.1980,18,18,20,0,2
172.16.0.1173,11,11,12,0,1
172.16.0.3944,8,8,11,0,3
172.16.0.4213,10,10,12,0,2
172.16.0.4168,11,11,13,0,2
172.16.0.3945,12,12,13,0,1
172.16.0.1475,9,9,11,0,2
172.16.0.4016,10,10,13,0,3
172.16.0.350,13,13,14,0,1
172.16.0.462,12,12,13,0,1
172.16.0.839,12,12,13,0,1
172.16.0.3318,11,11,12,0,1
172.16.0.61,8,8,11,0,3
172.16.0.412,16,16,17,0,1
172.16.0.1224,12,12,13,0,1
172.16.0.3029,14,14,15,0,1
172.16.0.502,13,13,16,0,3
172.16.0.2782,14,14,16,0,2
172.16.0.3360,7,7,8,0,1
172.16.0.104,8,8,9,0,1
172.16.0.1997,8,8,10,0,2
172.16.0.590,27,27,28,0,1
172.16.0.537,8,8,13,0,5
172.16.0.1147,5,5,8,0,3
172.16.0.3706,17,17,19,0,2
172.16.0.347,2,2,4,0,2
172.16.0.2538,9,9,11,0,2
172.16.0.3749,13,13,14,0,1
172.16.0.1430,17,17,19,0,2
172.16.0.1054,12,12,13,0,1
172.16.0.3093,11,11,12,0,1
172.16.0.1175,10,10,12,0,2
172.16.0.4949,14,14,16,0,2
172.16.0.4372,12,12,14,0,2
172.16.0.935,9,9,10,0,1
172.16.0.4962,7,7,10,0,3
172.16.0.4381,11,11,12,0,1
172.16.0.650,12,12,13,0,1
172.16.0.1436,14,14,17,0,3
172.16.0.4023,12,12,14,0,2
172.16.0.3244,12,12,14,0,2
172.16.0.2714,15,15,17,0,2
172.16.0.3568,12,24,13,12,1
172.16.0.944,11,11,12,0,1
172.16.0.4597,10,10,11,0,1
172.16.0.1605,14,14,15,0,1
172.16.0.4757,8,8,13,0,5
172.16.0.4797,9,9,10,0,1
172.16.0.549,15,15,17,0,2
172.16.0.490,14,14,15,0,1
172.16.0.4062,9,9,12,0,3
172.16.0.4758,15,15,17,0,2
172.16.0.4247,11,11,12,0,1
172.16.0.196,13,13,14,0,1
172.16.0.2046,17,17,18,0,1
172.16.0.766,12,12,14,0,2
172.16.0.4317,11,11,12,0,1
172.16.0.523,10,10,11,0,1
172.16.0.9,14,20,14,6,0
172.16.0.4611,9,9,10,0,1
172.16.0.109,11,11,12,0,1
172.16.0.4142,12,12,14,0,2
172.16.0.303,16,16,17,0,1
172.16.0.3658,19,19,20,0,1
172.16.0.2089,7,7,9,0,2
172.16.0.2787,12,12,15,0,3
172.16.0.4933,13,13,15,0,2
172.16.0.2672,12,12,14,0,2
172.16.0.1285,9,9,12,0,3
172.16.0.3471,8,8,9,0,1
172.16.0.48,12,12,13,0,1
172.16.0.966,12,12,14,0,2
172.16.0.3396,8,8,9,0,1
172.16.0.4732,13,13,16,0,3
172.16.0.278,19,19,20,0,1
172.16.0.1672,10,10,11,0,1
172.16.0.4238,7,7,9,0,2
172.16.0.1488,16,16,17,0,1
172.16.0.3819,15,15,16,0,1
172.16.0.2430,10,10,12,0,2
172.16.0.1342,10,10,11,0,1
172.16.0.1884,14,14,16,0,2
172.16.0.1403,10,10,11,0,1
172.16.0.1185,16,16,17,0,1
172.16.0.4371,15,15,16,0,1
172.16.0.1053,14,14,15,0,1
172.16.0.3734,10,10,12,0,2
172.16.0.2230,9,9,12,0,3
172.16.0.1264,14,14,15,0,1
172.16.0.2257,13,13,14,0,1
172.16.0.3374,7,7,8,0,1
172.16.0.1249,15,15,16,0,1
172.16.0.604,8,8,10,0,2
172.16.0.596,15,15,16,0,1
172.16.0.3148,13,13,15,0,2
172.16.0.1163,19,19,20,0,1
172.16.0.2508,13,13,14,0,1
172.16.0.603,13,13,14,0,1
172.16.0.990,16,16,17,0,1
172.16.0.1255,11,11,12,0,1
172.16.0.540,13,13,15,0,2
172.16.0.1212,18,18,20,0,2
172.16.0.4469,9,9,11,0,2
172.16.0.1993,16,16,17,0,1
172.16.0.1143,15,15,17,0,2
172.16.0.1174,13,22,13,9,0
172.16.0.4547,7,7,10,0,3
172.16.0.3188,12,12,15,0,3
172.16.0.3784,6,6,9,0,3
172.16.0.2702,12,12,13,0,1
172.16.0.469,6,6,7,0,1
172.16.0.2739,15,15,16,0,1
172.16.0.177,11,11,13,0,2
172.16.0.1725,14,14,18,0,4
172.16.0.312,10,10,11,0,1
172.16.0.1626,5,5,6,0,1
172.16.0.4021,10,10,11,0,1
172.16.0.1045,9,9,10,0,1
172.16.0.2780,6,6,8,0,2
172.16.0.654,18,18,19,0,1
172.16.0.76,17,17,18,0,1
172.16.0.378,11,11,12,0,1
172.16.0.4958,10,10,12,0,2
172.16.0.3491,12,18,12,6,0
172.16.0.54,12,12,14,0,2
172.16.0.1509,12,12,13,0,1
172.16.0.2967,14,14,15,0,1
172.16.0.569,12,12,14,0,2
172.16.0.865,6,6,7,0,1
172.16.0.666,5,5,6,0,1
172.16.0.2956,13,13,14,0,1
172.16.0.4212,12,12,15,0,3
172.16.0.2914,9,9,12,0,3
172.16.0.1883,13,13,14,0,1
172.16.0.1570,5,5,7,0,2
172.16.0.3897,16,16,17,0,1
172.16.0.3963,9,9,10,0,1
172.16.0.3804,5,5,8,0,3
172.16.0.1691,3,3,4,0,1
172.16.0.3938,11,11,14,0,3
